id,office_name,office_level
0,North Western Provincial Council,Level 1
10000000000,Governors Office - North Western Provincial Council,Level 1
20000000000,Council Secretariat - North Western Provincial Council,Level 1
30000000000,Provincial Public Service Commission - North Western Provincial Council,Level 1
40000000000,Chief Secretary Office - North Western Provincial Council,Level 1
40100000000,Deputy Chief Secretary office (Personnel & Training) - North Western Provincial Council,Level 2
40200000000,Deputy Chief Secretary office (Finance) - North Western Provincial Council,Level 2
40300000000,Deputy Chief Secretary office (Planning) - North Western Provincial Council,Level 2
40400000000,Deputy Chief Secretary office (Engineering) - North Western Provincial Council,Level 2
40500000000,Department of Internal Audit - North Western Provincial Council,Level 2
40600000000,Department of Provincial Revenue - North Western Provincial Council,Level 2
50000000000,Provincial Chief Ministry /Rural Water Supply & Environmental Sanitation Unit - North Western Provincial Council,Level 1
50700000000,Department of Local Government - North Western Provincial Council,Level 2
50700100000,Municipal Council - Kurunegala,Level 3
50700200000,Urban Council - Kuliyapitiya,Level 3
50700300000,Urban Council - Puttalam,Level 3
50700400000,Urban Council - Chilaw,Level 3
50700500000,Pradeshiya Sabha - Alawwa,Level 3
50700600000,Pradeshiya Sabha - Narammala,Level 3
50700700000,Pradeshiya Sabha - Bingiriya,Level 3
50700800000,Pradeshiya Sabha - Galgamuwa,Level 3
50700900000,Pradeshiya Sabha - Giribawa,Level 3
50701000000,Pradeshiya Sabha - Ibbagamuwa,Level 3
50701100000,Pradeshiya Sabha - Kobeigane,Level 3
50701200000,Pradeshiya Sabha - Kuliyapitiya,Level 3
50701300000,Pradeshiya Sabha - Kurunegala,Level 3
50701400000,Pradeshiya Sabha - Maho,Level 3
50701500000,Pradeshiya Sabha - Mawathagama,Level 3
50701600000,Pradeshiya Sabha - Nikaweratiya,Level 3
50701700000,Pradeshiya Sabha - Paduwasnuwara,Level 3
50701800000,Pradeshiya Sabha - Pannala,Level 3
50701900000,Pradeshiya Sabha - Polgahawela,Level 3
50702000000,Pradeshiya Sabha - Polpithigama,Level 3
50702100000,Pradeshiya Sabha - Rideegama,Level 3
50702200000,Pradeshiya Sabha - Udubaddawa,Level 3
50702300000,Pradeshiya Sabha - Wariyapola,Level 3
50702400000,Pradeshiya Sabha - Anamaduwa,Level 3
50702500000,Pradeshiya Sabha - Arachchikattuwa,Level 3
50702600000,Pradeshiya Sabha - Chilaw,Level 3
50702700000,Pradeshiya Sabha - Kalpitiya,Level 3
50702800000,Pradeshiya Sabha - Karuwalagaswewa,Level 3
50702900000,Pradeshiya Sabha - Nattandiya,Level 3
50703000000,Pradeshiya Sabha - Nawagaththegama,Level 3
50703100000,Pradeshiya Sabha - Puttalam,Level 3
50703200000,Pradeshiya Sabha - Wanathawilluwa,Level 3
50703300000,Pradeshiya Sabha - Wennappuwa,Level 3
50800000000,Department of Provincial Engineering - North Western Provincial Council,Level 2
50800100000,Regional Engineering Office - Kurunegala,Level 3
50800200000,Regional Engineering Office - Rideegama,Level 3
50800300000,Regional Engineering Office - Kuliyapitiya,Level 3
50800400000,Regional Engineering Office - Wariyapola,Level 3
50800500000,Regional Engineering Office - Maho,Level 3
50800600000,Regional Engineering Office - Puttalam,Level 3
50800700000,Regional Engineering Office - Wennappuwa,Level 3
50900000000,Department of Provincial Education - North Western Provincial Council,Level 2
50900100000,Zonal Education Office - Kuliyapitiya,Level 3
50900100100,Divisional Education Office - Kuliyapitiya West,Level 4
50900100101,Kirindawa Maha Vidyalaya,Level 5
50900100102,Anukkane Maha Vidyalaya,Level 5
50900100103,Annaruwa Kanishta Vidyalaya,Level 5
50900100104,Kithalawa Poogalla Maha Vidyalay,Level 5
50900100105,"Sri Saddawimala Kanishta Vidyalaya, Beminiggalla",Level 5
50900100106,Wahumuwa Kanishta Vidyalaya,Level 5
50900100107,Kuliyapitiya Central College,Level 5
50900100108,Kuliyapitiya Saranath Vidyalaya,Level 5
50900100109,Deegalla Rewatha Madya Maha Vidyalaya,Level 5
50900100110,Yakarawaththa Maha Vidyalaya,Level 5
50900100111,"Sri Sarananda Madya Maha Vidyalaya, Wewagama",Level 5
50900100112,Ilukhena Gunananda Maha Vidyalaya,Level 5
50900100113,Kanadulla Darmaraja Maha Vidyalaya,Level 5
50900100114,Mahimpitiya Kanishta Vidyalaya,Level 5
50900100115,Embawa Sri Saranankara Primary School,Level 5
50900100116,Sri Dhammarathana Kanishta Vidyalaya,Level 5
50900100117,"St. Joshep S College, Ihala Diyadora",Level 5
50900100118,"Holy Anjels Girls College, Kuliyapitiya",Level 5
50900100119,"Sri Sumangala Vidyalaya, Kumbalwala",Level 5
50900100120,Galpola Kanishta Vidyalaya,Level 5
50900100121,Thalahitimulla Kanishta Vidyalaya,Level 5
50900100122,"Sripathi Royal College, Diyakalamulla",Level 5
50900100123,Delana Silwathenna Junior School,Level 5
50900100124,Pahala Elathalawa Kanishta Vidyalaya,Level 5
50900100125,Pahala Diyadora Kanishta Vidyalaya,Level 5
50900100126,Madakumburumulla Kanishta Vidyalaya,Level 5
50900100127,Weerambuwa Primary School,Level 5
50900100128,Hammalawa Kanishta Vidyalaya,Level 5
50900100129,Kuliyapitiya Assedduma Subarathi Kanishta Vidyalaya,Level 5
50900100130,Iguruwaththa Primary School,Level 5
50900100131,Eluwapola Primary School,Level 5
50900100132,Katuwaththewela Primary School,Level 5
50900100133,Thawalandana Primary School,Level 5
50900100134,"Sambodhi Primary Vidyalaya, Bohandiya",Level 5
50900100135,Wadugedara Primary School,Level 5
50900100136,Haggamuwa Sri Rewatha Kanishta Vidyalaya,Level 5
50900100137,"Al Humaira Muslim Vidyalaya, Edandawela",Level 5
50900100138,Kuliyapitiya Muslim Kanishta Vidyalaya,Level 5
50900100139,Yayawaththa Muslim Vidyalaya,Level 5
50900100140,Kuliyapitiya Vishaka Vidyalaya,Level 5
50900100141,"Vijaya Vidyalaya, Ihala Gomugomuwa",Level 5
50900100142,"Sri Seelarathana Prathamika Vidyalaya, Wewegama",Level 5
50900100143,"Bauddhaloka Vidyalaya, Deegalla",Level 5
50900100200,Divisional Education Office - Bingiriya,Level 4
50900100201,Bingiriya Sri Saranankara National School,Level 5
50900100202,Halmillawewa Siddrartha Maha Vidyalaya,Level 5
50900100203,Wellarawa Maha Vidyalaya,Level 5
50900100204,Weerapokuna Vijitha Madya Maha Vidyalaya,Level 5
50900100205,Udawela Rewatha Central College,Level 5
50900100206,"L.B. Jayasena Maha Vidyalaya, Horagassagarahiruwalpola",Level 5
50900100207,Ihala Kadigamuwa Maha Vidyalaya,Level 5
50900100208,Manalembuwa Sri Sarananda Modal School,Level 5
50900100209,Thisogama Sripali Maha Vidyalaya,Level 5
50900100210,Bowaththa Kanishta Vidyalaya,Level 5
50900100211,"Sri Saddananda Kanishta Vidyalaya, Brahmanayagama",Level 5
50900100212,Koswaththa Gamini Maha Vidyalaya,Level 5
50900100213,Pahala Koonkadawala Kanishta Vidyalaya,Level 5
50900100214,Siri Sumeda Kanishta Widyalaya,Level 5
50900100215,Urapotta Kanishta Vidyalaya,Level 5
50900100216,Ihala Molealipitiya Kanista Vidyalaya,Level 5
50900100217,Kuliyapitiya Nithalawa Saman Baduru Prathamika Vidyalaya,Level 5
50900100218,Hiripokuna Kanishta Vidyalaya,Level 5
50900100219,Kuliyapitiya St. Xaviour Primary School,Level 5
50900100220,Aluth Kaduruwewa Kanishta Vidyalaya,Level 5
50900100221,Getulawa Kanishta Vidyalaya,Level 5
50900100222,Kuliyapitiya Ihala Kiniyama Sinhala Primary School,Level 5
50900100223,Kuliyapitiya Kadigamuwa Primary School,Level 5
50900100224,Makullapokuna Kanishta Vidyalaya,Level 5
50900100225,Molaeliya Primary School,Level 5
50900100226,Wilaththawa Kanishta Vidyalaya,Level 5
50900100227,Kuliyapitiya Swarnapradeepa Kanishta Vidyalaya,Level 5
50900100228,Baragedara Anagarika Dharmapala Madya Maha Vidyalaya,Level 5
50900100229,Kuliyapitiya Diganwela Ananga Vidyalaya,Level 5
50900100230,Hamannapahuwa Model Primary School,Level 5
50900100231,Ihala Kiniyama Muslim Maha Vidyalaya,Level 5
50900100232,Madige Weediyawala Muslim Vidyalaya,Level 5
50900100233,Poowella Muslim Maha Vidyalaya,Level 5
50900100300,Divisional Education Office - Paduwasnuwara,Level 4
50900100301,Hettipola Mahindodaya Maha Vidyalaya,Level 5
50900100302,Bandarakoswaththa Maha Vidyalaya,Level 5
50900100303,Rathmalla Sri Ariyawansha Maha Vidyalaya,Level 5
50900100304,Kadawalagedara Maha Vidyalaya,Level 5
50900100305,Kolambagama Wimalaseela Maha Vidyalaya,Level 5
50900100306,Dewamedi Kudawewa Aggawansa Maha Vidyalaya,Level 5
50900100307,"Madulla Maha Vidyalaya, Sunandapura",Level 5
50900100308,Katumuluwa Kanishta Vidyalaya,Level 5
50900100309,"Sirisumana Kanishta Vidyalaya, Kooratihena",Level 5
50900100310,Kosdeniya Maha Vidyalaya,Level 5
50900100311,Teckewa Prinary School,Level 5
50900100312,Panduwasnuwara Sri Medhankara Kanishta Vidyalaya,Level 5
50900100313,Palugahawela Kanishta Vidyalaya,Level 5
50900100314,Rambawewa Kanishta Vidyalaya,Level 5
50900100315,Wadumunna Kanishta Vidyalaya,Level 5
50900100316,Wilbagedara Kanishta Vidyalaya,Level 5
50900100317,Hunnelembuwa Maha Vidyalaya,Level 5
50900100318,Katagamuwa Kanishta Vidyalaya,Level 5
50900100319,Mandapola Primary School,Level 5
50900100320,Koonwewa Kanishta Vidyalaya,Level 5
50900100321,Nallura Ananda Primary School,Level 5
50900100322,"Sri Sambuddathwa Jayanthi Modern Primary School, Kanaththewewa",Level 5
50900100323,Madaina Saranankara Kanishta Vidyalaya,Level 5
50900100324,Medagama Primary School,Level 5
50900100325,"Wayamba Janadhipathi Vidyalaya, Munihirigama",Level 5
50900100326,Hindagahawewa Kanishta Vidyalaya,Level 5
50900100327,Hettipola Model Primery School,Level 5
50900100328,Panduwasnuwara S.W.R.D. Bandaranayaka National School,Level 5
50900100329,Dematawa Maha Vidyalaya,Level 5
50900100330,Kotambapitiya Muslim Central College,Level 5
50900100331,Bandarakoswaththa Muslim Maha Vidyalaya,Level 5
50900100332,Kooratihena Muslim Primary School,Level 5
50900100333,Madige Anukkana Muslim Maha Vidyalaya,Level 5
50900100334,Madige Midiyala Central College,Level 5
50900100335,Godekurugama Muslim Primary School,Level 5
50900100336,"Al-Falah Muslim Primary School, Madige Midiyala",Level 5
50900100400,Divisional Education Office - Dahanakgedara,Level 4
50900100401,Nagollagoda Madya Maha Vidyalaya,Level 5
50900100402,Kirimetiyawa Sri Sumanasara Maha Vidyalaya,Level 5
50900100403,"Jayasena Rajakaruna Maha Vidyalaya, Dahanakgedeara",Level 5
50900100404,Magulagama Maha Vidyalaya,Level 5
50900100405,Moragane Maha Vidyalaya,Level 5
50900100406,Epaladeniya Kanishta Vidyalaya,Level 5
50900100407,Kamburapola Muslim Kanishta Vidyalaya,Level 5
50900100408,Gonnawa Prathamika Vidyalaya,Level 5
50900100409,Gomugomuwa Kanishta Vidyalaya,Level 5
50900100410,Pihimbiya Rathmale Kanishta Vidyalaya,Level 5
50900100411,Porawewa Kanishta Vidyalaya,Level 5
50900100412,Bandaradampitiya Kanishta Vidyalaya,Level 5
50900100413,Bodhimulla Kanishta Vidyalaya,Level 5
50900100414,Mohoththawagoda Kanishta Vidyalaya,Level 5
50900100415,Hanthihawa Kanishta Vidyalaya,Level 5
50900100416,Pahala Pihimbiya Prathamika Vidyalaya,Level 5
50900100417,Udagama Kanishta Vidyalaya,Level 5
50900100418,Jayasiripura Indrasara Prathamika Vidyalaya,Level 5
50900100419,"Sri Rahula Prathamika Vidyalaya, Kanathalawa",Level 5
50900100420,Galahitiyawa Prathamika Vidyalaya,Level 5
50900100421,Dunakayawaththa Prathamika Vidyalaya,Level 5
50900100422,Doratiyagedara Prathamika Vidyalaya,Level 5
50900100423,Rathmulukanda Sri Sunanda Prathamika Vidyalaya,Level 5
50900100424,Ehattumulla Muslim Maha Vidyalaya,Level 5
50900100425,Thorakotuwa Muslim Kanishta Vidyalaya,Level 5
50900100426,Pandupura Subhoothi Prathamika Vidyalaya,Level 5
50900100500,Divisional Education Office - Udabaddawa,Level 4
50900100501,Bibiladeniya Sri Gunananda Madya Maha Vidyalaya,Level 5
50900100502,Gahalagaswala Maha Vidyalaya,Level 5
50900100503,Horathepola Mahanama Maha Vidyalaya,Level 5
50900100504,Kattimahana Maha Vidyalaya,Level 5
50900100505,Kubukgahamulla Sri Bodhi Madya Maha Vidyalaya,Level 5
50900100506,"Sri Dammananda Maha Vidyalaya, Udubddawa",Level 5
50900100507,"Sri Saddananda Prathamika Vidyalaya, Bunnahapola",Level 5
50900100508,Dunakadeniya Roman Catholic Vidyalaya,Level 5
50900100509,"J.R. Jayawardana Madya Maha Vidyalaya, Dummalasooriya",Level 5
50900100510,Henegedara Prathamika Vidyalaya,Level 5
50900100511,"St Anne's College, Kattimahana",Level 5
50900100512,Kappangamuwa Darmawardana Prathamika Vidyalaya,Level 5
50900100513,Kahadenigama Prathamika Vidyalaya,Level 5
50900100514,"Sambuddhaloka Prathamika Vidyalaya, Karaulla",Level 5
50900100515,Kootharippuwa Prathamika Vidyalaya,Level 5
50900100516,Mandakondana Roman Catholic Vidyalaya,Level 5
50900100517,Thawalla Dhammaloka Maha Vidyalaya,Level 5
50900100518,Thalgahapoththa Prathamika Vidyalaya,Level 5
50900100519,Wathuwaththa Sri Sobitha Prathamika Vidyalaya,Level 5
50900100520,Weerakodiyana Maha Vidyalaya,Level 5
